"","sicdiv","divisionname"
"1","01","Crop and animal production, hunting and related service activities"
"2","02","Forestry and logging"
"3","03","Fishing and aquaculture"
"4","05","Mining of coal and lignite"
"5","06","Extraction of crude petroleum and natural gas"
"6","07","Mining of metal ores"
"7","08","Other mining and quarrying"
"8","09","Mining support service activities"
"9","10","Manufacture of food products"
"10","11","Manufacture of beverages"
"11","12","Manufacture of tobacco products"
"12","13","Manufacture of textiles"
"13","14","Manufacture of wearing apparel"
"14","15","Manufacture of leather and related products"
"15","16","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"16","17","Manufacture of paper and paper products"
"17","18","Printing and reproduction of recorded media"
"18","19","Manufacture of coke and refined petroleum products"
"19","20","Manufacture of chemicals and chemical products"
"20","21","Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"21","22","Manufacture of rubber and plastic products"
"22","23","Manufacture of other non-metallic mineral products"
"23","24","Manufacture of basic metals"
"24","25","Manufacture of fabricated metal products, except machinery and equipment"
"25","26","Manufacture of computer, electronic and optical products"
"26","27","Manufacture of electrical equipment"
"27","28","Manufacture of machinery and equipment n.e.c."
"28","29","Manufacture of motor vehicles, trailers and semi-trailers"
"29","30","Manufacture of other transport equipment"
"30","31","Manufacture of furniture"
"31","32","Other manufacturing"
"32","33","Repair and installation of machinery and equipment"
"33","35","Electricity, gas, steam and air conditioning supply"
"34","36","Water collection, treatment and supply"
"35","37","Sewerage"
"36","38","Waste collection, treatment and disposal activities; materials recovery"
"37","39","Remediation activities and other waste management services."
"38","41","Construction of buildings"
"39","42","Civil engineering"
"40","43","Specialised construction activities"
"41","45","Wholesale and retail trade and repair of motor vehicles and motorcycles"
"42","46","Wholesale trade, except of motor vehicles and motorcycles"
"43","47","Retail trade, except of motor vehicles and motorcycles"
"44","49","Land transport and transport via pipelines"
"45","50","Water transport"
"46","51","Air transport"
"47","52","Warehousing and support activities for transportation"
"48","53","Postal and courier activities"
"49","55","Accommodation"
"50","56","Food and beverage service activities"
"51","58","Publishing activities"
"52","59","Motion picture, video and television programme production, sound recording and music publishing activities"
"53","60","Programming and broadcasting activities"
"54","61","Telecommunications"
"55","62","Computer programming, consultancy and related activities"
"56","63","Information service activities"
"57","64","Financial service activities, except insurance and pension funding"
"58","65","Insurance, reinsurance and pension funding, except compulsory social security"
"59","66","Activities auxiliary to financial services and insurance activities"
"60","68","Real estate activities"
"61","69","Legal and accounting activities"
"62","70","Activities of head offices; management consultancy activities"
"63","71","Architectural and engineering activities; technical testing and analysis"
"64","72","Scientific research and development"
"65","73","Advertising and market research"
"66","74","Other professional, scientific and technical activities"
"67","75","Veterinary activities"
"68","77","Rental and leasing activities"
"69","78","Employment activities"
"70","79","Travel agency, tour operator and other reservation service and related activities"
"71","80","Security and investigation activities"
"72","81","Services to buildings and landscape activities"
"73","82","Office administrative, office support and other business support activities"
"74","84","Public administration and defence; compulsory social security"
"75","85","Education"
"76","86","Human health activities"
"77","87","Residential care activities"
"78","88","Social work activities without accommodation"
"79","90","Creative, arts and entertainment activities"
"80","91","Libraries, archives, museums and other cultural activities"
"81","92","Gambling and betting activities"
"82","93","Sports activities and amusement and recreation activities"
"83","94","Activities of membership organisations"
"84","95","Repair of computers and personal and household goods"
"85","96","Other personal service activities"
"86","97","Activities of households as employers of domestic personnel"
"87","98","Undifferentiated goods- and services-producing activities of private households for own use"
"88","99","Activities of extraterritorial organisations and bodies"
